PELAN STRATEGIK UTeM 2026–2030 | KPI SASARAN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOD KPI,INISIATIF UTAMA,PETUNJUK PRESTASI,SASARAN 2026,PENCAPAIAN FASA 1/ 2026,PENCAPAIAN FASA 2/ 2026,PENCAPAIAN FASA 3/ 2026,PENCAPAIAN FASA 4/ 2026,PERATUS PENCAPAIAN SASARAN 2026,MAKLUMAT PENCAPAIAN 2026,SASARAN 2027,PENCAPAIAN FASA 1/ 2027,PENCAPAIAN FASA 2/ 2027,PENCAPAIAN FASA 3/ 2027,PENCAPAIAN FASA 4/ 2027,PERATUS PENCAPAIAN SASARAN 2027,MAKLUMAT PENCAPAIAN 2027,SASARAN 2028,PENCAPAIAN FASA 1/ 2028,PENCAPAIAN FASA 2/ 2028,PENCAPAIAN FASA 3/ 2028,PENCAPAIAN FASA 4/ 2028,PERATUS PENCAPAIAN SASARAN 2028,MAKLUMAT PENCAPAIAN 2028,SASARAN 2029,PENCAPAIAN FASA 1/ 2029,PENCAPAIAN FASA 2/ 2028,PENCAPAIAN FASA 3/ 2029,PENCAPAIAN FASA 4/ 2029,PERATUS PENCAPAIAN SASARAN 2029,MAKLUMAT PENCAPAIAN 2029,SASARAN 2030,PENCAPAIAN FASA 1/ 2030,PENCAPAIAN FASA 2/ 2030,PENCAPAIAN FASA 3/ 2030,PENCAPAIAN FASA 4/ 2030,PERATUS PENCAPAIAN SASARAN 2030,MAKLUMAT PENCAPAIAN 2030,PELAN TINDAKAN
2.3.2,Pemerkasaan Galeri Penyelidikan UTeM,2.3.2.1 Bilangan program/aktiviti KSTP/pameran,60,18,0,0,0,30.00%,"1) BENGKEL IP & SEMAKAN COPYRIGHT BERSAMA MyIPO 2026
2) CONNECTING INNOVATION: MRANTI & UTeM ENGAGEMENT SESSION

• Unit Komuniti
1) Program Latihan Transforming Productivity & Leadership with Generative AI kepada Staf Lembaga Tabung Haji
2) Program Ekonomi MADANI di Kem Angkatan Tentera Malaysia (ATM) Fasa Kedua – Aplikasi Teknologi Terkini dalam Penanaman Cendawan Tiram)
 
• Unit STEM
1) Program STEM Pemindahan Kepakaran Kejuruteraan Staf FTKM kepada Pelajar SMK Munshi Abdullah, Melaka
2) Program Jelajah UTeM STEM Centre - SMK Datuk Bendahara
 
• Unit Projek Negeri Melaka
1) Program Kesedaran AI Rakyat Digital kepada belia DUN Pengkalan Batu (2 Jan)
2) ⁠Program Kesedaran AI Rakyat Digital kepada belia DUN Taboh Naning (21 Jan)
3) ⁠Program Kesedaran AI Rakyat Digital kepada belia DUN Tanjong Bidara (24 Jan)
4) Program Kesedaran AI Rakyat Digital kepada belia DUN Sungai Udang (24 Jan)
5) Program Kesedaran AI Rakyat Digital kepada belia DUN Telok Mas (27 Jan)
6) Program Kesedaran AI Rakyat Digital kepada belia DUN Duyong (29 Jan)
7) ⁠Program Kesedaran AI Rakyat Digital kepada belia DUN Gadek (31 Jan)
8) ⁠Program Kesedaran AI Rakyat Digital kepada belia DUN Ayer Limau (31 Jan)
9) Program Kesedaran AI Rakyat Digital kepada belia DUN Kesidang (26 Feb)
10) ⁠Program Kesedaran AI Rakyat Digital kepada belia DUN Klebang (26 Feb)
11) Program Kesedaran AI Rakyat Digital kepada belia DUN Rim (27 Feb)
12) ⁠Program Kesedaran AI Rakyat Digital kepada belia DUN Lendu (3 Mac)
",120,0,0,0,0,0.00%,• Tiada,180,0,0,0,0,0.00%,• Tiada,240,0,0,0,0,0.00%,• Tiada,300,0,0,0,0,0.00%,• Tiada,"1) PROGRAM BERSAMA INDUSTRI / KOMUNITI / SEKOLAH
2) KPI FAKULTI = 8 PROGRAM / FAKULTI BERDAFTAR DI RICE"
2.3.2,,2.3.2.2 Bilangan Produk baharu dikomersialkan dalam pasaran,4,3,0,0,0,75.00%,"1) Kilat 3000
2) Baja Microbes-Straw
3) Baja kompos dan lilin aroma terapi
",6,0,0,0,0,0.00%,• Tiada,8,0,0,0,0,0.00%,• Tiada,10,0,0,0,0,0.00%,• Tiada,12,0,0,0,0,0.00%,• Tiada,"1) UTeMTECH PITCH
2) KPI FAKULTI = 1 PRODUK BARU / FAKULTI"
2.3.2,,2.3.2.3 Bilangan Produk konsisten dikomersialkan (3 tahun),4,7,0,0,0,100.00%,"1) Intelligent Fire Alarm System
2) Intelligent Soil and Environment Monitoring System
3) Operations Management In Edutourism
4) Suci-Uris
5) Kilat 3000
6) Baja Microbes-Straw
7) Baja kompos dan lilin aroma terapi
",6,0,0,0,0,0.00%,• Tiada,8,0,0,0,0,0.00%,• Tiada,10,0,0,0,0,0.00%,• Tiada,12,0,0,0,0,0.00%,• Tiada,"1) AKTIVITI KOMERSIALAN UTeM DI BAWAH RICE
2) KPI FAKULTI = 1 PRODUK / FAKULTI"
2.3.2,,2.3.2.4 Bilangan Teknologi know-how yang dilesenkan,5,4,0,0,0,80.00%,"1) Intelligent Fire Alarm System
2) Intelligent Soil and Environment Monitoring System
3) Operations Management In Edutourism
4) iFOS
",7,0,0,0,0,0.00%,• Tiada,9,0,0,0,0,0.00%,• Tiada,11,0,0,0,0,0.00%,• Tiada,13,0,0,0,0,0.00%,• Tiada,"1) AKTIVITI KOMERSIALAN UTeM DI BAWAH RICE
2) KPI FAKULTI = 1 PRODUK / FAKULTI"
STRATEGI 2.4: MELESTARI PENJANAAN PENDAPATAN MELALUI PENYELIDIKAN DAN INOVASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.1,Memperhebat Ekosistem Mampan Industri dan Komuniti,2.4.1.5 Jumlah Hasil dari teknologi know-how/jualan terus & pengkomersialan,"RM 150,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,"RM 250,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,"RM 350,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,"RM 450,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,"RM 550,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,1) AKTIVITI KOMERSIALAN UTeM DI BAWAH RICE
2.4.3,Memperkasa Rangkaian Perundingan Institusi,2.4.3.1 Jumlah Dana projek perundingan,"RM 5,000,000","RM 2,970,352.14",RM 0,RM 0,RM 0,59.41%,"• Risiko Rendah (31)  = RM606,233.88
• Risiko Tinggi (34) = RM2,364,119.26
• RM2,970,352.14
","RM 8,000,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,"RM 11,000,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,"RM 14,000,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,"RM 17,000,000",RM 0,RM 0,RM 0,RM 0,0.00%,• Tiada,1) MENAMBAHBAIK EKOSISTEM PERUNDINGAN
STRATEGI 2.5: MEMBUDAYAKAN PENYEBARAN ILMU BAGI KESEJAHTERAAN SOSIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.1,Memacu Komitmen Untuk Keunggulan dan Keterlihatan Global,2.5.1.4 Bilangan MoA/MoU peringkat antarabangsa,5,0,0,0,0,0.00%,"• Beberapa deraf bersih MoU Antarabangsa telah didaftarkan di PUU:
1) MEMORANDUM OF UNDERSTANDING BETWEEN UTeM AND SINGAPORE POLYTECHNIC
2) MEMORANDUM OF UNDERSTANDING BETWEEN UTeM AND BUKHARA STATE TECHNICAL UNIVERSITY
3) MEMORANDUM OF UNDERSTANDING BETWEEN UTeM AND REVA UNIVERSITY
",10,0,0,0,0,0.00%,• Tiada,15,0,0,0,0,0.00%,• Tiada,20,0,0,0,0,0.00%,• Tiada,25,0,0,0,0,0.00%,• Tiada,1) KPI FAKULTI = 1 MoA atau MoU / FAKULTI
2.5.1,,2.5.1.5 Bilangan MoA peringkat kebangsaan,20,1,0,0,0,5.00%,"1) Impressive Edge Sdn) Bhd) [Ts) Dr) Syahrul Azwan Bin Sundi @ Suandi-FTKIP]
 
•  Beberapa deraf bersih MoA peringkat kebangsaan telah didaftarkan di PUU: 
1) MEMORANDUM OF AGREEMENT BETWEEN UTeM AND KURNIA AL RIZQ ENTERPRISE
2) MEMORANDUM OF AGREEMENT BETWEEN UTeM AND UNIVERSITI TEKNOLOGI MARA
3) MEMORANDUM OF AGREEMENT BETWEEN UTeM AND SAWIPAC SDN) BHD)
",40,0,0,0,0,0.00%,• Tiada,60,0,0,0,0,0.00%,• Tiada,80,0,0,0,0,0.00%,• Tiada,100,0,0,0,0,0.00%,• Tiada,1) KPI FAKULTI = 3 MoA / FAKULTI
2.5.1,,2.5.1.6 Bilangan Projek komuniti baharu,15,16,0,0,0,100.00%,"• Unit Komuniti
1) Program Latihan Transforming Productivity & Leadership with Generative AI kepada Staf Lembaga Tabung Haji
2) Program Ekonomi MADANI di Kem Angkatan Tentera Malaysia (ATM) Fasa Kedua – Aplikasi Teknologi Terkini dalam Penanaman Cendawan Tiram
 
• Unit STEM
1) Program STEM Pemindahan Kepakaran Kejuruteraan Staf FTKM kepada Pelajar SMK Munshi Abdullah, Melaka
2) Program Jelajah UTeM STEM Centre - SMK Datuk Bendahara
 
• Unit Projek Negeri Melaka
1) Program Kesedaran AI Rakyat Digital kepada belia DUN Pengkalan Batu (2 Jan)
2) Program Kesedaran AI Rakyat Digital kepada belia DUN Taboh Naning (21 Jan)
3) Program Kesedaran AI Rakyat Digital kepada belia DUN Tanjong Bidara (24 Jan)
4) Program Kesedaran AI Rakyat Digital kepada belia DUN Sungai Udang (24 Jan)
5) Program Kesedaran AI Rakyat Digital kepada belia DUN Telok Mas (27 Jan) 
6) Program Kesedaran AI Rakyat Digital kepada belia DUN Duyong (29 Jan)
7) Program Kesedaran AI Rakyat Digital kepada belia DUN Gadek (31 Jan)
8) Program Kesedaran AI Rakyat Digital kepada belia DUN Ayer Limau (31 Jan)
9) Program Kesedaran AI Rakyat Digital kepada belia DUN Kesidang (26 Feb)
10) Program Kesedaran AI Rakyat Digital kepada belia DUN Klebang (26 Feb)
11) Program Kesedaran AI Rakyat Digital kepada belia DUN Rim (27 Feb)
12) Program Kesedaran AI Rakyat Digital kepada belia DUN Lendu (3 Mac)
",30,0,0,0,0,0.00%,• Tiada,45,0,0,0,0,0.00%,• Tiada,60,0,0,0,0,0.00%,• Tiada,75,0,0,0,0,0.00%,• Tiada,1) KPI FAKULTI = 2 PROJEK BAHARU / FAKULTI (DANA / TANPA DANA)
2.5.1,,2.5.1.7 Bilangan Komuniti menerima faedah dari projek komuniti,70,16,0,0,0,22.86%,"• Unit Komuniti
1) Staf Lembaga Tabung Haji wilayah selatan (Johor, Negeri Sembilan dan Melaka)
2) Komuniti Badan Kebajikan Keluarga Angkatan Tentera (BAKAT),Kem 96 DPP, Kem Masjid Tanah, Melaka
 
• Unit STEM
1) Murid sekolah SMK Munshi Abdullah
2) Murid sekolah SMK Datuk Bendahara
 
• Unit Projek Negeri Melaka
1) Belia DUN Pengkalan Batu (2 Jan)
2) Belia DUN Taboh Naning (21 Jan)
3) Belia DUN Tanjong Bidara (24 Jan)
4) Belia DUN Sungai Udang (24 Jan)
5) Belia DUN Telok Mas (27 Jan)
6) Belia DUN Duyong (29 Jan)
7) Belia DUN Gadek (31 Jan)
8) Belia DUN Ayer Limau (31 Jan)
9) Belia DUN Kesidang (26 Feb)
10) Belia DUN Klebang (26 Feb)
11) Belia DUN Rim (27 Feb)
12) Belia DUN Lendu (3 Mac)
",70,0,0,0,0,0.00%,• Tiada,70,0,0,0,0,0.00%,• Tiada,70,0,0,0,0,0.00%,• Tiada,70,0,0,0,0,0.00%,• Tiada,1) KPI FAKULTI = 9 PROJEK / FAKULTI (KSTP/CSR) YANG BERDAFTAR DI RICE
